camera1_tip_x,camera1_tip_y,camera2_tip_x,camera2_tip_y,follower_joint_1,follower_joint_2,follower_joint_3,follower_joint_4
568,193,543,348,1163,2343,1950,921
517,190,525,351,1501,2309,1938,978
461,190,505,356,1637,2171,2027,991
414,189,486,359,1734,1995,2257,984
364,190,463,364,1802,1868,2468,897
315,191,439,371,1815,1783,2566,900
272,188,409,376,1848,1713,2571,1026
225,186,380,381,1858,1709,2615,1083
181,191,342,387,1904,1617,2743,1181
138,196,295,394,1908,1521,2855,1222
95,195,255,396,1949,1461,2884,1299
91,238,354,407,2033,1467,2836,1290
133,240,390,395,2030,1505,2758,1150
178,242,426,391,2028,1660,2482,1227
221,244,456,386,2027,1852,2226,1300
272,238,482,381,2028,1915,2223,1199
316,243,505,376,2025,1988,2124,1203
368,244,527,369,1999,2115,2050,1132
412,243,541,365,1978,2186,1950,1119
464,234,551,359,1927,2343,1760,1117
518,231,566,355,1788,2417,1751,1073
568,231,574,348,1592,2497,1726,949
552,286,628,352,2110,2543,1756,943
511,283,611,357,2114,2374,1825,991
455,284,606,357,2117,2242,1964,940
413,290,600,364,2114,2095,2160,912
365,293,589,366,2115,1978,2294,920
318,292,570,373,2114,1882,2444,927
270,292,551,376,2114,1752,2617,964
225,294,533,386,2114,1690,2706,965
175,297,511,397,2114,1657,2753,1046
130,290,469,407,2112,1614,2815,1100
89,292,445,415,2112,1529,2884,1178
98,333,535,410,2135,1528,2844,1161
140,331,539,407,2135,1666,2576,1181
183,330,553,397,2136,1764,2424,1181
222,334,576,388,2157,1911,2262,1174
272,334,601,383,2157,1968,2221,1068
322,334,618,375,2172,2028,2124,1071
365,336,629,372,2176,2176,1970,1096
409,339,625,359,2212,2260,1893,1093
465,339,628,344,2310,2294,1818,1093
515,337,642,335,2375,2399,1739,1090
562,336,629,325,2484,2508,1725,1004
566,373,577,357,2664,2512,1742,1133
565,390,599,365,2680,2391,1761,1082
452,394,591,372,2509,2270,1831,1161
416,347,598,322,2296,2242,1944,1090
331,360,599,330,2290,2070,2161,1110
268,367,589,331,2287,1848,2413,1020
205,375,588,337,2269,1814,2363,1117
158,379,578,341,2254,1652,2656,1032
107,380,566,346,2248,1534,2806,1030
59,377,548,357,2241,1471,2891,1083
-12,276,562,102,2201,1655,2837,1144
31,286,582,121,2198,1691,2789,1005
64,275,574,120,2198,1873,2590,1078
141,252,547,136,2199,1887,2598,963
190,261,590,130,2220,1974,2512,891
251,234,615,135,2226,2098,2405,891
283,287,455,203,2226,2048,2376,891
369,205,501,143,2245,2234,2324,890
472,201,503,164,2319,2181,2275,892
490,262,445,105,2347,2228,2143,887
610,255,519,206,2472,2435,2031,886
607,148,463,177,2025,2521,2125,885
491,181,469,160,2167,2252,2225,885
313,198,465,139,2174,2019,2486,886
166,191,420,121,2166,1871,2659,981
41,208,357,106,2157,1676,2798,1082
129,128,350,103,2051,1836,2755,895
125,149,351,94,2050,1869,2734,897
210,140,388,110,2080,2069,2498,988
391,126,422,154,2091,2270,2288,880
493,131,434,169,2123,2484,2130,964
585,152,441,191,2121,2695,2016,861
544,86,395,187,1771,2431,2119,866
392,70,348,149,1947,2105,2384,876
309,76,287,141,1949,1868,2704,877
86,77,203,102,1962,1720,2871,987
51,63,95,121,1910,1617,2886,1191
150,50,195,125,1902,1826,2571,1143
292,38,278,144,1858,2140,2234,1097
450,55,339,190,1649,2266,2167,872
576,97,404,196,1596,2443,2045,867
